,Smart Card,Recommended_Association_Rule
28,200015464185," SWEETENER,  FEMININE HYGIENE,  VISUAL,  TOILET CLEANER,  FRESH VEG,  MEN'S TOPWEAR,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  STATIONERY,  DRY FRUIT,  PLASTICS & THERMOWAR,  CONFECTIONARY,  PATISSERIE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  BROWN SPIRITS,  CEREALS,  PULSES,  FOOT WEAR CONC,  BISCUIT,  FLOUR,  FOOD SERVICE,  SKIN CARE,  BREAKFAST CEREAL,  MASALA & SPICE,  KIDS BOYS BWEAR,  SOUP,  EDIBLE OIL,  FRESH FRUIT, UTENSIL CLEANER,  DAIRY,  CLEANING AID,  FLOOR CARE,  ORGANIC FOOD,  POOJA NEED,  JAMS/HONEY/SPREAD,  COOKWARE METAL,  GIFT CARD & VOUCHERS,  NOODLE/VERMICELLI,  READY TO FRY,  BAKERY,  DRINKS & JUICES,  CARBONATED"
29,200016343339," SWEETENER,  VISUAL,  UTENSIL CLEANER,  PATISSERIE,  KITCHEN TOOLS METAL,  LAUNDRY,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  CEREALS,  BISCUIT,  FLOUR,  SKIN CARE,  FOOD SERVICE,  KIDS BOYS BWEAR,  MASALA & SPICE,  EDIBLE OIL, UTENSIL CLEANER,  DAIRY,  CLEANING AID,  JAMS/HONEY/SPREAD,  NOODLE/VERMICELLI,  BAKERY,  DRINKS & JUICES,  CARBONATED"
30,200016525270," SWEETENER,  FEMININE HYGIENE,  VISUAL,  TOILET CLEANER,  KETCHUP/SAUCE,  FRESH VEG,  MEN'S TOPWEAR,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  DRY FRUIT,  PLASTICS & THERMOWAR,  CONFECTIONARY,  PATISSERIE,  HAIR CARE,  DISPOSABLE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  BROWN SPIRITS,  CEREALS,  PULSES,  AUDIO,  FOOT WEAR CONC,  BISCUIT,  FLOUR,  SKIN CARE,  FOOD SERVICE,  BREAKFAST CEREAL,  MASALA & SPICE,  PACKAGED TEA,  KIDS BOYS BWEAR,  SOUP,  EDIBLE OIL, UTENSIL CLEANER,  FRESH FRUIT,  DAIRY,  SALT,  COFFEE,  CLEANING AID,  BATHROOM AIDS,  ORGANIC FOOD,  POOJA NEED,  JAMS/HONEY/SPREAD,  NOODLE/VERMICELLI,  FLOOR CARE,  GIFT CARD & VOUCHERS,  BAKERY,  DRINKS & JUICES,  CARBONATED,  READY TO FRY"
31,200016531156," SWEETENER,  FEMININE HYGIENE,  VISUAL,  TOILET CLEANER,  FRESH VEG,  MEN'S TOPWEAR,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  STATIONERY,  DRY FRUIT,  PLASTICS & THERMOWAR,  CONFECTIONARY,  PATISSERIE,  HAIR CARE,  DISPOSABLE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  BROWN SPIRITS,  CEREALS,  PULSES,  AUDIO,  FOOT WEAR CONC,  BISCUIT,  DISINFECTANT AND MUL,  FLOUR,  SKIN CARE,  FOOD SERVICE,  KIDS BOYS BWEAR,  MASALA & SPICE,  BREAKFAST CEREAL,  PACKAGED TEA,  SOUP,  EDIBLE OIL, UTENSIL CLEANER,  DAIRY,  FRESH FRUIT,  SALT,  CLEANING AID,  BABY NEEDS,  BATHROOM AIDS,  FLOOR CARE,  ORGANIC FOOD,  POOJA NEED,  JAMS/HONEY/SPREAD,  COOKWARE METAL,  READY TO FRY,  GIFT CARD & VOUCHERS,  NOODLE/VERMICELLI,  BAKERY,  DRINKS & JUICES,  CARBONATED"
32,200017041793,
33,200018068539," SWEETENER,  FEMININE HYGIENE,  VISUAL,  TOILET CLEANER,  FRESH VEG,  MEN'S TOPWEAR,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  STATIONERY,  DRY FRUIT,  PLASTICS & THERMOWAR,  CONFECTIONARY,  PATISSERIE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  BROWN SPIRITS,  CEREALS,  PULSES,  FOOT WEAR CONC,  BISCUIT,  FLOUR,  SKIN CARE,  FOOD SERVICE,  KIDS BOYS BWEAR,  MASALA & SPICE,  BREAKFAST CEREAL,  PACKAGED TEA,  SOUP,  EDIBLE OIL,  DAIRY,  FRESH FRUIT,  SALT,  CLEANING AID,  BATHROOM AIDS,  FLOOR CARE,  ORGANIC FOOD,  POOJA NEED,  JAMS/HONEY/SPREAD,  CARBONATED,  READY TO FRY,  GIFT CARD & VOUCHERS, MASALA & SPICE,  BAKERY,  DRINKS & JUICES,  NOODLE/VERMICELLI"
34,200018278002,
35,200018278163,
36,200018278206," SWEETENER,  FEMININE HYGIENE,  VISUAL,  TOILET CLEANER,  FRESH VEG,  MEN'S TOPWEAR,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  STATIONERY,  DRY FRUIT,  PLASTICS & THERMOWAR,  CONFECTIONARY,  HAIR CARE,  PATISSERIE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  BROWN SPIRITS,  CEREALS,  PULSES,  AUDIO,  FOOT WEAR CONC,  BISCUIT,  DISINFECTANT AND MUL,  FLOUR,  FOOD SERVICE,  SKIN CARE,  KIDS BOYS BWEAR,  BREAKFAST CEREAL,  PACKAGED TEA,  MASALA & SPICE,  SOUP,  EDIBLE OIL, UTENSIL CLEANER,  DAIRY,  FRESH FRUIT,  COFFEE,  CLEANING AID,  FLOOR CARE,  COOKWARE METAL,  JAMS/HONEY/SPREAD,  POOJA NEED,  READY TO FRY,  GIFT CARD & VOUCHERS,  NOODLE/VERMICELLI,  BAKERY,  DRINKS & JUICES,  CARBONATED"
37,200018281468," SWEETENER,  VISUAL,  TOILET CLEANER,  FRESH VEG,  MEN'S TOPWEAR,  SAVOURIES,  INSECTICIDE,  AIR FRESHENER,  UTENSIL CLEANER,  STATIONERY,  DRY FRUIT,  PLASTICS & THERMOWAR,  CONFECTIONARY,  PATISSERIE,  KITCHEN TOOLS METAL,  ORAL CARE,  CARRY BAG WOVEN,  LAUNDRY,  HEALTH DRINKS,  ELECTRICAL EQUIPMENT,  CEREALS,  PULSES,  FOOT WEAR CONC,  BISCUIT,  DISINFECTANT AND MUL,  FLOUR,  FOOD SERVICE,  SKIN CARE,  BREAKFAST CEREAL,  MASALA & SPICE,  EDIBLE OIL, UTENSIL CLEANER,  DAIRY,  FRESH FRUIT,  CLEANING AID,  FLOOR CARE,  KITCHEN APPLIANCES,  POOJA NEED,  COOKWARE METAL,  GIFT CARD & VOUCHERS,  NOODLE/VERMICELLI,  BAKERY,  CARBONATED"
38,200018292303,
